date,city,latitude,temp_min_c,temp_max_c,temp_mean_c,rainfall_mm,humidity_pct
2015-02-04,Abuja,9.06,19.0,26.0,23.0,0.0,54.0
2015-02-05,Abuja,9.06,21.0,30.1,25.1,0.0,57.0
2015-02-06,Abuja,9.06,21.4,28.7,24.8,0.0,59.0
2015-02-07,Abuja,9.06,19.7,26.6,23.9,0.0,57.0
2015-02-08,Abuja,9.06,19.8,27.3,24.3,0.0,61.0
2015-02-09,Abuja,9.06,19.9,29.1,24.4,0.0,54.0
2015-02-10,Abuja,9.06,20.3,27.7,24.6,12.3,60.0
2015-02-11,Abuja,9.06,22.8,31.7,26.9,0.0,60.0
2015-02-12,Abuja,9.06,23.1,31.3,27.3,0.0,55.0
2015-02-13,Abuja,9.06,17.9,26.5,22.0,0.0,62.0
2015-02-14,Abuja,9.06,20.7,29.5,25.6,0.0,53.0
2015-02-15,Abuja,9.06,21.7,30.5,26.2,0.0,59.0
2015-02-16,Abuja,9.06,18.6,29.2,25.0,0.0,65.0
2015-02-17,Abuja,9.06,22.0,30.3,26.3,0.0,53.0
2015-02-18,Abuja,9.06,22.4,30.5,27.2,0.0,65.0
2015-02-19,Abuja,9.06,19.6,28.1,23.9,5.4,57.0
2015-02-20,Abuja,9.06,21.3,28.5,25.6,0.0,60.0
2015-02-21,Abuja,9.06,22.2,32.2,27.7,2.1,68.0
2015-02-22,Abuja,9.06,19.1,28.3,24.2,0.0,60.0
2015-02-23,Abuja,9.06,22.1,29.8,25.5,0.0,69.0
2015-02-24,Abuja,9.06,21.3,27.6,25.2,7.3,62.0
2015-02-25,Abuja,9.06,22.5,30.2,26.9,0.0,63.0
2015-02-26,Abuja,9.06,22.9,30.8,27.1,0.0,66.0
2015-02-27,Abuja,9.06,22.5,30.5,26.1,0.0,65.0
2015-02-28,Abuja,9.06,21.4,29.4,26.0,0.0,64.0
2015-03-01,Abuja,9.06,20.7,29.6,24.1,0.0,62.0
2015-03-02,Abuja,9.06,23.0,31.5,27.6,0.0,57.0
2015-03-03,Abuja,9.06,20.8,29.1,25.7,0.0,58.0
2015-03-04,Abuja,9.06,21.0,29.9,26.0,0.0,69.0
2015-03-05,Abuja,9.06,22.9,30.7,27.3,7.1,71.0
2015-03-06,Abuja,9.06,21.1,29.8,26.5,0.0,65.0
2015-03-07,Abuja,9.06,22.8,32.1,27.5,0.0,57.0
2015-03-08,Abuja,9.06,22.1,31.4,27.1,0.0,61.0
2015-03-09,Abuja,9.06,22.6,31.0,26.7,0.0,61.0
2015-03-10,Abuja,9.06,21.5,31.6,26.9,2.9,63.0
2015-03-11,Abuja,9.06,20.9,29.7,25.4,0.0,62.0
2015-03-12,Abuja,9.06,21.0,29.9,26.5,9.8,67.0
2015-03-13,Abuja,9.06,22.6,32.3,27.9,0.0,66.0
2015-03-14,Abuja,9.06,21.1,29.1,25.8,0.0,72.0
2015-03-15,Abuja,9.06,21.3,29.8,26.0,0.0,64.0
2015-03-16,Abuja,9.06,21.5,29.9,25.9,0.0,67.0
2015-03-17,Abuja,9.06,23.1,31.0,27.1,0.0,69.0
2015-03-18,Abuja,9.06,23.7,31.5,28.6,0.0,70.0
2015-03-19,Abuja,9.06,22.8,31.1,27.7,0.0,62.0
2015-03-20,Abuja,9.06,21.2,28.7,24.7,0.0,68.0
2015-03-21,Abuja,9.06,23.4,31.5,27.9,6.2,67.0
2015-03-22,Abuja,9.06,21.7,31.4,26.8,0.0,68.0
2015-03-23,Abuja,9.06,22.5,32.6,27.9,0.0,67.0
2015-03-24,Abuja,9.06,22.3,30.5,27.2,0.0,74.0
2015-03-25,Abuja,9.06,22.9,30.5,26.5,0.0,64.0
2015-03-26,Abuja,9.06,23.5,32.3,27.4,0.0,64.0
2015-03-27,Abuja,9.06,22.7,30.9,27.0,9.7,65.0
2015-03-28,Abuja,9.06,22.6,31.7,27.9,0.0,67.0
2015-03-29,Abuja,9.06,22.5,31.2,26.6,9.3,70.0
2015-03-30,Abuja,9.06,21.3,30.3,26.4,0.0,67.0
2015-03-31,Abuja,9.06,24.4,33.3,28.5,0.0,73.0
2015-04-01,Abuja,9.06,24.2,32.6,29.0,1.8,69.0
2015-04-02,Abuja,9.06,24.5,32.2,28.5,6.1,69.0
2015-04-03,Abuja,9.06,22.8,31.6,27.2,0.0,64.0
2015-04-04,Abuja,9.06,23.3,31.2,27.1,11.1,77.0
2015-04-05,Abuja,9.06,21.9,31.3,27.2,3.9,70.0
2015-04-06,Abuja,9.06,24.9,31.9,29.0,0.0,76.0
2015-04-07,Abuja,9.06,23.6,31.0,27.2,0.0,68.0
2015-04-08,Abuja,9.06,25.6,33.6,29.1,14.9,74.0
2015-04-09,Abuja,9.06,24.4,32.4,28.9,0.0,68.0
2015-04-10,Abuja,9.06,25.4,34.0,29.6,3.3,78.0
2015-04-11,Abuja,9.06,24.6,33.6,29.4,0.0,75.0
2015-04-12,Abuja,9.06,24.6,32.8,28.9,0.0,75.0
2015-04-13,Abuja,9.06,21.5,31.6,26.7,5.4,68.0
2015-04-14,Abuja,9.06,24.8,32.9,29.1,0.0,79.0
2015-04-15,Abuja,9.06,23.5,32.4,28.6,0.0,80.0
2015-04-16,Abuja,9.06,24.2,32.0,28.1,0.0,71.0
2015-04-17,Abuja,9.06,26.4,34.1,30.0,0.0,73.0
2015-04-18,Abuja,9.06,24.4,32.9,28.4,9.3,76.0
2015-04-19,Abuja,9.06,24.2,31.1,28.0,0.0,65.0
2015-04-20,Abuja,9.06,26.1,34.4,29.9,0.0,77.0
2015-04-21,Abuja,9.06,23.5,32.3,28.2,0.0,77.0
2015-04-22,Abuja,9.06,23.8,32.4,28.1,7.3,71.0
2015-04-23,Abuja,9.06,22.9,33.0,27.5,0.0,65.0
2015-04-24,Abuja,9.06,23.1,31.6,27.9,14.7,75.0
2015-04-25,Abuja,9.06,24.5,31.3,28.0,0.0,69.0
2015-04-26,Abuja,9.06,24.7,33.7,29.6,6.4,68.0
2015-04-27,Abuja,9.06,24.0,32.0,27.8,11.3,76.0
2015-04-28,Abuja,9.06,22.7,31.4,26.9,20.2,80.0
2015-04-29,Abuja,9.06,25.9,33.0,29.3,0.0,74.0
2015-04-30,Abuja,9.06,23.4,31.8,28.3,0.0,80.0
2015-05-01,Abuja,9.06,25.5,32.1,29.0,22.3,78.0
2015-05-02,Abuja,9.06,26.7,33.7,30.5,0.0,70.0
2015-05-03,Abuja,9.06,25.3,32.9,29.2,28.8,74.0
2015-05-04,Abuja,9.06,26.4,34.7,30.8,18.9,80.0
2015-05-05,Abuja,9.06,24.7,34.3,29.1,3.4,74.0
2015-05-06,Abuja,9.06,25.3,33.3,30.3,6.1,80.0
2015-05-07,Abuja,9.06,24.2,32.8,28.6,0.3,75.0
2015-05-08,Abuja,9.06,24.3,32.9,29.3,3.8,80.0
2015-05-09,Abuja,9.06,23.5,32.4,28.2,1.8,79.0
2015-05-10,Abuja,9.06,24.4,32.0,28.4,4.2,76.0
2015-05-11,Abuja,9.06,24.9,33.7,29.0,1.1,80.0
2015-05-12,Abuja,9.06,22.4,32.5,27.8,0.0,69.0
2015-05-13,Abuja,9.06,24.3,33.4,29.5,4.2,74.0
2015-05-14,Abuja,9.06,24.0,33.9,29.0,7.1,76.0
2015-05-15,Abuja,9.06,24.5,34.1,29.6,1.5,83.0
2015-05-16,Abuja,9.06,23.2,32.8,27.9,0.0,73.0
2015-05-17,Abuja,9.06,25.5,34.1,30.2,0.0,79.0
2015-05-18,Abuja,9.06,26.7,35.8,31.3,9.6,80.0
2015-05-19,Abuja,9.06,25.5,34.6,31.1,4.0,80.0
2015-05-20,Abuja,9.06,27.3,35.0,31.5,0.0,79.0
2015-05-21,Abuja,9.06,24.8,34.8,29.5,0.0,77.0
2015-05-22,Abuja,9.06,25.6,32.4,29.1,18.4,79.0
2015-05-23,Abuja,9.06,26.4,33.7,30.0,0.0,84.0
2015-05-24,Abuja,9.06,23.6,32.1,29.2,6.5,78.0
2015-05-25,Abuja,9.06,22.7,31.1,27.6,2.7,72.0
2015-05-26,Abuja,9.06,26.0,33.8,30.4,0.0,83.0
2015-05-27,Abuja,9.06,24.7,32.8,29.2,9.6,87.0
2015-05-28,Abuja,9.06,24.2,32.1,27.9,0.0,77.0
2015-05-29,Abuja,9.06,24.7,33.3,28.9,8.9,87.0
2015-05-30,Abuja,9.06,25.6,32.7,29.3,15.7,84.0
2015-05-31,Abuja,9.06,25.2,33.0,29.5,7.6,77.0
2015-06-01,Abuja,9.06,24.6,34.2,29.5,0.0,79.0
2015-06-02,Abuja,9.06,26.2,36.0,31.0,8.9,79.0
2015-06-03,Abuja,9.06,22.6,32.8,28.1,6.7,83.0
2015-06-04,Abuja,9.06,24.6,32.3,29.3,0.0,82.0
2015-06-05,Abuja,9.06,25.5,33.2,28.5,17.4,87.0
2015-06-06,Abuja,9.06,25.2,36.0,30.9,4.4,86.0
2015-06-07,Abuja,9.06,24.9,31.8,28.9,7.2,77.0
2015-06-08,Abuja,9.06,24.5,33.7,29.1,4.8,78.0
2015-06-09,Abuja,9.06,26.1,34.8,30.6,19.8,86.0
2015-06-10,Abuja,9.06,26.3,34.7,30.9,5.0,82.0
2015-06-11,Abuja,9.06,26.5,35.1,31.1,22.3,83.0
2015-06-12,Abuja,9.06,23.1,31.9,27.6,4.1,86.0
2015-06-13,Abuja,9.06,26.2,34.6,29.9,0.0,88.0
2015-06-14,Abuja,9.06,23.6,34.4,29.7,7.2,80.0
2015-06-15,Abuja,9.06,24.4,32.4,29.3,1.6,76.0
2015-06-16,Abuja,9.06,24.9,33.1,29.4,22.2,85.0
2015-06-17,Abuja,9.06,25.2,34.8,30.8,0.0,82.0
2015-06-18,Abuja,9.06,26.6,35.4,30.5,0.0,86.0
2015-06-19,Abuja,9.06,25.3,32.7,30.3,10.3,85.0
2015-06-20,Abuja,9.06,25.4,33.2,29.5,2.6,82.0
2015-06-21,Abuja,9.06,27.0,34.9,31.8,4.5,94.0
2015-06-22,Abuja,9.06,24.1,32.0,28.8,6.9,86.0
2015-06-23,Abuja,9.06,24.4,32.0,27.5,1.5,84.0
2015-06-24,Abuja,9.06,25.3,32.6,28.9,9.7,87.0
2015-06-25,Abuja,9.06,23.8,31.9,29.3,2.4,89.0
2015-06-26,Abuja,9.06,26.2,34.5,30.6,14.2,84.0
2015-06-27,Abuja,9.06,22.9,33.8,28.6,19.1,96.0
2015-06-28,Abuja,9.06,24.4,32.6,29.6,0.0,81.0
2015-06-29,Abuja,9.06,23.1,31.8,27.5,0.0,81.0
2015-06-30,Abuja,9.06,25.9,35.2,30.2,6.8,81.0
2015-07-01,Abuja,9.06,23.6,33.1,29.1,2.1,87.0
2015-07-02,Abuja,9.06,22.9,33.8,28.7,18.7,89.0
2015-07-03,Abuja,9.06,27.0,34.9,31.3,4.8,86.0
2015-07-04,Abuja,9.06,24.7,35.0,30.1,8.2,90.0
2015-07-05,Abuja,9.06,22.6,32.5,27.7,3.6,90.0
2015-07-06,Abuja,9.06,23.5,32.7,28.7,0.0,87.0
2015-07-07,Abuja,9.06,27.3,34.9,31.8,10.7,90.0
2015-07-08,Abuja,9.06,26.9,34.4,31.0,9.1,87.0
2015-07-09,Abuja,9.06,25.9,32.4,29.8,1.6,87.0
2015-07-10,Abuja,9.06,23.0,31.0,26.7,0.0,86.0
2015-07-11,Abuja,9.06,24.5,34.4,30.1,30.5,89.0
2015-07-12,Abuja,9.06,23.4,32.0,27.9,13.4,93.0
2015-07-13,Abuja,9.06,26.2,34.0,30.1,4.6,84.0
2015-07-14,Abuja,9.06,22.7,32.6,27.8,6.2,87.0
2015-07-15,Abuja,9.06,24.8,33.2,29.0,9.1,90.0
2015-07-16,Abuja,9.06,23.7,31.4,27.8,0.0,96.0
2015-07-17,Abuja,9.06,22.3,32.1,28.0,23.0,91.0
2015-07-18,Abuja,9.06,25.4,34.3,29.1,13.0,86.0
2015-07-19,Abuja,9.06,22.2,31.3,26.9,15.7,86.0
2015-07-20,Abuja,9.06,26.8,34.7,30.9,17.0,93.0
2015-07-21,Abuja,9.06,23.1,31.1,27.1,0.0,88.0
2015-07-22,Abuja,9.06,23.4,31.3,27.0,14.4,85.0
2015-07-23,Abuja,9.06,24.3,32.6,28.8,0.0,94.0
2015-07-24,Abuja,9.06,25.6,33.2,29.5,15.0,91.0
2015-07-25,Abuja,9.06,22.8,31.7,27.7,2.9,85.0
2015-07-26,Abuja,9.06,22.4,31.7,26.8,28.5,84.0
2015-07-27,Abuja,9.06,22.6,31.4,26.9,0.0,81.0
2015-07-28,Abuja,9.06,22.8,30.5,26.8,12.7,87.0
2015-07-29,Abuja,9.06,22.8,32.7,28.2,10.0,91.0
2015-07-30,Abuja,9.06,22.8,31.7,27.7,5.9,94.0
2015-07-31,Abuja,9.06,24.1,32.4,28.2,17.2,92.0
2015-08-01,Abuja,9.06,24.4,32.3,28.1,7.9,85.0
2015-08-02,Abuja,9.06,25.2,31.3,28.6,13.3,89.0
2015-08-03,Abuja,9.06,22.0,29.3,27.1,2.6,96.0
2015-08-04,Abuja,9.06,21.7,30.9,26.7,19.6,88.0
2015-08-05,Abuja,9.06,22.5,31.1,27.7,18.3,93.0
2015-08-06,Abuja,9.06,22.9,30.4,27.4,9.1,93.0
2015-08-07,Abuja,9.06,22.7,31.2,27.7,3.9,93.0
2015-08-08,Abuja,9.06,21.4,31.1,26.5,20.6,92.0
2015-08-09,Abuja,9.06,23.5,32.2,28.0,0.0,93.0
2015-08-10,Abuja,9.06,21.6,30.4,25.9,9.5,84.0
2015-08-11,Abuja,9.06,22.8,30.9,26.7,7.0,96.0
2015-08-12,Abuja,9.06,23.6,31.8,28.3,12.4,83.0
2015-08-13,Abuja,9.06,21.0,30.3,25.8,6.9,91.0
2015-08-14,Abuja,9.06,23.9,32.5,28.1,17.6,90.0
2015-08-15,Abuja,9.06,21.0,29.3,25.4,0.0,87.0
2015-08-16,Abuja,9.06,20.8,29.2,25.1,20.6,86.0
2015-08-17,Abuja,9.06,20.2,29.6,25.2,8.1,92.0
2015-08-18,Abuja,9.06,23.2,30.4,26.9,5.7,93.0
2015-08-19,Abuja,9.06,23.7,32.1,27.5,12.2,89.0
2015-08-20,Abuja,9.06,24.2,32.4,28.1,16.8,89.0
2015-08-21,Abuja,9.06,23.5,31.9,27.9,0.0,95.0
2015-08-22,Abuja,9.06,22.8,32.4,27.5,8.1,88.0
2015-08-23,Abuja,9.06,21.7,28.8,25.5,4.3,89.0
2015-08-24,Abuja,9.06,20.4,29.2,25.5,1.2,89.0
2015-08-25,Abuja,9.06,21.8,30.8,27.2,0.0,99.0
2015-08-26,Abuja,9.06,23.1,32.0,27.8,0.0,86.0
2015-08-27,Abuja,9.06,19.9,29.8,25.1,0.0,93.0
2015-08-28,Abuja,9.06,23.6,31.0,27.6,6.5,82.0
2015-08-29,Abuja,9.06,20.0,30.0,24.0,2.9,85.0
2015-08-30,Abuja,9.06,21.7,30.1,26.5,3.4,88.0
2015-08-31,Abuja,9.06,21.4,30.1,25.9,2.8,88.0
2015-09-01,Abuja,9.06,21.7,29.7,25.7,9.2,88.0
2015-09-02,Abuja,9.06,20.5,29.9,25.9,0.0,88.0
2015-09-03,Abuja,9.06,20.2,28.4,24.9,9.5,86.0
2015-09-04,Abuja,9.06,21.3,30.9,26.2,12.8,94.0
2015-09-05,Abuja,9.06,21.6,29.2,25.7,3.3,85.0
2015-09-06,Abuja,9.06,21.1,29.6,26.6,8.5,91.0
2015-09-07,Abuja,9.06,22.9,30.6,27.3,5.6,91.0
2015-09-08,Abuja,9.06,20.5,30.5,25.6,7.4,84.0
2015-09-09,Abuja,9.06,20.4,29.3,24.5,1.7,87.0
2015-09-10,Abuja,9.06,19.5,26.9,24.1,0.0,88.0
2015-09-11,Abuja,9.06,22.3,31.7,27.2,8.8,95.0
2015-09-12,Abuja,9.06,21.3,29.8,27.0,0.0,86.0
2015-09-13,Abuja,9.06,21.9,30.2,26.2,4.4,99.0
2015-09-14,Abuja,9.06,20.6,28.5,25.2,6.8,91.0
2015-09-15,Abuja,9.06,21.1,30.5,26.0,0.0,89.0
2015-09-16,Abuja,9.06,22.8,30.8,26.5,0.0,91.0
2015-09-17,Abuja,9.06,21.1,28.9,24.3,1.3,80.0
2015-09-18,Abuja,9.06,21.0,28.8,24.9,5.2,92.0
2015-09-19,Abuja,9.06,18.5,27.5,23.6,9.5,81.0
2015-09-20,Abuja,9.06,19.1,27.7,24.6,11.5,90.0
2015-09-21,Abuja,9.06,22.5,29.8,26.4,14.5,84.0
2015-09-22,Abuja,9.06,22.1,30.4,25.9,10.6,83.0
2015-09-23,Abuja,9.06,19.4,29.0,24.8,4.4,93.0
2015-09-24,Abuja,9.06,17.4,25.7,21.6,0.0,86.0
2015-09-25,Abuja,9.06,19.5,28.5,23.8,0.0,80.0
2015-09-26,Abuja,9.06,19.2,27.8,24.6,2.4,90.0
2015-09-27,Abuja,9.06,18.9,28.6,24.2,3.9,81.0
2015-09-28,Abuja,9.06,19.3,27.7,24.4,9.9,91.0
2015-09-29,Abuja,9.06,21.1,29.5,24.6,14.1,85.0
2015-09-30,Abuja,9.06,19.9,28.0,23.7,4.7,80.0
2015-10-01,Abuja,9.06,19.0,28.8,24.2,0.0,88.0
2015-10-02,Abuja,9.06,19.3,27.6,24.0,0.3,87.0
2015-10-03,Abuja,9.06,19.3,28.6,23.3,7.5,76.0
2015-10-04,Abuja,9.06,21.8,31.3,26.1,0.0,84.0
2015-10-05,Abuja,9.06,18.3,27.7,23.5,15.8,85.0
2015-10-06,Abuja,9.06,16.0,26.2,21.5,0.0,85.0
2015-10-07,Abuja,9.06,21.4,29.7,25.9,0.0,83.0
2015-10-08,Abuja,9.06,18.8,26.2,22.9,4.8,86.0
2015-10-09,Abuja,9.06,20.5,29.3,24.8,15.0,86.0
2015-10-10,Abuja,9.06,17.7,26.5,23.0,16.9,83.0
2015-10-11,Abuja,9.06,19.0,29.1,24.3,5.4,82.0
2015-10-12,Abuja,9.06,19.0,28.2,23.6,0.0,83.0
2015-10-13,Abuja,9.06,20.5,28.9,24.7,3.3,80.0
2015-10-14,Abuja,9.06,18.2,27.4,23.3,0.0,78.0
2015-10-15,Abuja,9.06,17.3,27.4,22.8,0.0,78.0
2015-10-16,Abuja,9.06,20.1,27.9,23.8,0.0,81.0
2015-10-17,Abuja,9.06,18.7,26.8,23.0,13.9,78.0
2015-10-18,Abuja,9.06,16.1,24.4,21.3,5.7,81.0
2015-10-19,Abuja,9.06,18.2,27.3,22.7,29.0,87.0
2015-10-20,Abuja,9.06,22.3,30.7,26.5,12.1,80.0
2015-10-21,Abuja,9.06,16.7,26.9,21.3,9.1,81.0
2015-10-22,Abuja,9.06,18.8,27.5,23.5,10.5,80.0
2015-10-23,Abuja,9.06,19.1,27.1,22.9,0.0,86.0
2015-10-24,Abuja,9.06,20.6,29.4,25.2,4.5,87.0
2015-10-25,Abuja,9.06,17.2,26.3,21.9,13.2,78.0
2015-10-26,Abuja,9.06,19.0,26.6,23.2,0.0,83.0
2015-10-27,Abuja,9.06,19.8,27.8,23.8,10.7,88.0
2015-10-28,Abuja,9.06,18.7,27.3,22.8,5.3,75.0
2015-10-29,Abuja,9.06,18.2,26.0,22.2,6.1,83.0
2015-10-30,Abuja,9.06,17.9,27.4,23.0,15.7,72.0
2015-10-31,Abuja,9.06,18.7,26.7,22.6,7.8,79.0
2015-11-01,Abuja,9.06,18.0,26.8,22.6,8.0,78.0
2015-11-02,Abuja,9.06,19.6,28.6,23.9,6.3,71.0
2015-11-03,Abuja,9.06,19.2,27.2,23.3,4.7,82.0
2015-11-04,Abuja,9.06,18.1,26.6,23.4,5.4,78.0
2015-11-05,Abuja,9.06,18.8,27.0,23.2,0.0,74.0
2015-11-06,Abuja,9.06,19.7,27.3,23.8,0.0,79.0
2015-11-07,Abuja,9.06,20.2,26.9,24.2,6.7,81.0
2015-11-08,Abuja,9.06,17.7,26.4,22.4,0.0,70.0
2015-11-09,Abuja,9.06,18.6,27.7,23.6,0.0,64.0
2015-11-10,Abuja,9.06,16.0,25.9,21.3,0.0,76.0
2015-11-11,Abuja,9.06,15.8,23.5,20.2,0.8,73.0
2015-11-12,Abuja,9.06,20.3,28.7,24.7,3.3,81.0
2015-11-13,Abuja,9.06,17.7,27.0,22.3,3.4,74.0
2015-11-14,Abuja,9.06,18.3,26.6,22.9,0.0,77.0
2015-11-15,Abuja,9.06,17.2,25.6,21.3,0.0,75.0
2015-11-16,Abuja,9.06,15.8,26.2,21.2,0.0,69.0
2015-11-17,Abuja,9.06,17.3,24.7,21.8,13.9,75.0
2015-11-18,Abuja,9.06,18.5,27.4,23.3,0.0,69.0
2015-11-19,Abuja,9.06,17.2,26.7,22.0,0.0,69.0
2015-11-20,Abuja,9.06,17.4,26.0,22.2,0.0,70.0
2015-11-21,Abuja,9.06,17.8,26.6,21.7,0.0,69.0
2015-11-22,Abuja,9.06,19.3,28.2,23.8,9.7,73.0
2015-11-23,Abuja,9.06,17.6,28.5,23.5,20.5,72.0
2015-11-24,Abuja,9.06,16.5,26.3,22.0,0.0,74.0
2015-11-25,Abuja,9.06,18.7,28.4,23.3,12.1,67.0
2015-11-26,Abuja,9.06,18.0,26.4,22.2,0.0,72.0
2015-11-27,Abuja,9.06,19.0,25.3,22.1,0.0,71.0
2015-11-28,Abuja,9.06,18.2,26.1,22.4,0.0,73.0
2015-11-29,Abuja,9.06,18.8,27.8,23.2,3.5,73.0
2015-11-30,Abuja,9.06,17.2,26.1,21.5,0.0,73.0
2015-12-01,Abuja,9.06,18.7,26.9,23.1,1.4,68.0
2015-12-02,Abuja,9.06,20.4,30.3,25.3,0.0,72.0
2015-12-03,Abuja,9.06,18.8,26.5,22.7,0.0,69.0
2015-12-04,Abuja,9.06,17.9,26.8,22.5,0.0,76.0
2015-12-05,Abuja,9.06,18.0,26.7,22.4,0.0,71.0
2015-12-06,Abuja,9.06,19.1,26.2,23.0,0.0,71.0
2015-12-07,Abuja,9.06,15.3,24.7,20.8,0.0,65.0
2015-12-08,Abuja,9.06,19.5,29.8,24.4,0.0,68.0
2015-12-09,Abuja,9.06,19.6,27.1,23.6,0.0,71.0
2015-12-10,Abuja,9.06,17.0,26.2,21.8,0.0,70.0
2015-12-11,Abuja,9.06,18.9,25.9,22.6,0.0,69.0
2015-12-12,Abuja,9.06,17.9,25.4,22.0,2.2,63.0
2015-12-13,Abuja,9.06,17.6,26.1,22.9,2.9,66.0
2015-12-14,Abuja,9.06,18.0,27.2,22.7,0.0,68.0
2015-12-15,Abuja,9.06,18.2,26.3,22.9,2.8,74.0
2015-12-16,Abuja,9.06,16.4,26.3,21.5,0.0,61.0
2015-12-17,Abuja,9.06,17.3,25.8,22.1,0.0,64.0
2015-12-18,Abuja,9.06,19.6,28.0,23.9,8.7,61.0
2015-12-19,Abuja,9.06,17.0,26.4,22.1,0.0,69.0
2015-12-20,Abuja,9.06,16.3,22.8,19.8,1.6,73.0
2015-12-21,Abuja,9.06,18.5,26.7,22.6,0.0,69.0
2015-12-22,Abuja,9.06,21.0,29.6,25.4,11.5,70.0
2015-12-23,Abuja,9.06,18.9,28.4,23.7,4.9,63.0
2015-12-24,Abuja,9.06,17.9,25.6,22.2,15.7,69.0
2015-12-25,Abuja,9.06,19.3,26.3,22.8,0.0,64.0
2015-12-26,Abuja,9.06,20.3,28.0,23.6,0.0,67.0
2015-12-27,Abuja,9.06,16.5,25.8,20.9,0.0,69.0
2015-12-28,Abuja,9.06,17.8,25.6,22.0,11.5,65.0
2015-12-29,Abuja,9.06,19.4,26.6,23.4,0.0,70.0
2015-12-30,Abuja,9.06,20.9,28.5,24.7,0.0,65.0
2015-12-31,Abuja,9.06,17.9,25.9,22.5,0.0,67.0
2016-01-01,Abuja,9.06,19.5,29.0,24.8,0.0,65.0
2016-01-02,Abuja,9.06,17.7,25.6,22.2,0.0,60.0
2016-01-03,Abuja,9.06,14.1,24.0,19.4,0.0,55.0
2016-01-04,Abuja,9.06,19.7,28.1,24.0,0.0,56.0
2016-01-05,Abuja,9.06,19.0,28.4,23.8,0.0,61.0
2016-01-06,Abuja,9.06,18.7,26.6,24.0,4.5,62.0
2016-01-07,Abuja,9.06,19.6,27.0,24.0,0.0,58.0
2016-01-08,Abuja,9.06,19.0,28.3,23.5,0.0,52.0
2016-01-09,Abuja,9.06,18.8,26.6,23.0,0.0,54.0
2016-01-10,Abuja,9.06,18.3,26.2,23.1,0.0,59.0
2016-01-11,Abuja,9.06,17.9,26.8,22.9,0.0,60.0
2016-01-12,Abuja,9.06,18.3,27.2,23.0,2.5,62.0
2016-01-13,Abuja,9.06,17.1,25.4,21.5,0.0,50.0
2016-01-14,Abuja,9.06,18.6,26.5,22.2,0.0,62.0
2016-01-15,Abuja,9.06,18.9,27.6,23.4,9.4,64.0
2016-01-16,Abuja,9.06,16.8,25.3,21.2,0.0,49.0
2016-01-17,Abuja,9.06,16.8,26.3,21.5,3.5,59.0
2016-01-18,Abuja,9.06,18.8,27.3,23.3,0.0,62.0
2016-01-19,Abuja,9.06,18.2,27.6,23.6,0.0,53.0
2016-01-20,Abuja,9.06,19.4,27.9,23.5,0.0,57.0
2016-01-21,Abuja,9.06,17.7,25.6,21.2,0.0,61.0
